401000000/GASTOS DE PERSONAL/6.817.547,00/0,00/0,00/6.869.547,00/0,00/0,00/249.357,46/249.357,46/0,00/0,00/667.210,27
402000000/MATERIALES, SUMINISTROS Y MERCANCÃAS/413.061,00/0,00/0,00/448.061,00/0,00/0,00/160.139,87/160.139,87/0,00/0,00/0,00
403000000/SERVICIOS NO PERSONALES/2.899.312,00/0,00/0,00/47.014.797,00/0,00/0,00/43.956.398,41/43.956.398,41/0,00/0,00/148.286,95
404000000/ACTIVOS REALES/558.199,00/0,00/0,00/381.269.898,28/0,00/0,00/380.043.294,06/380.043.294,06/0,00/0,00/6.515,00
407000000/TRANSFERENCIAS Y DONACIONES/30.000,00/0,00/0,00/30.000,00/0,00/0,00/30.000,00/30.000,00/0,00/0,00/0,00
408000000/OTROS GASTOS/2.231.488,00/0,00/0,00/2.231.488,00/0,00/0,00/1.794.210,33/1.794.210,33/0,00/0,00/0,00
411000000/DISMINUCION DE PASIVOS/1.000.000,00/0,00/0,00/5.165.052,00/0,00/0,00/4.235.929,00/4.235.929,00/0,00/0,00/0,00
401000000/GASTOS DE PERSONAL/6.817.547,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
402000000/MATERIALES, SUMINISTROS Y MERCANCÃAS/413.061,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
403000000/SERVICIOS NO PERSONALES/2.899.312,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
404000000/ACTIVOS REALES/558.199,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
407000000/TRANSFERENCIAS Y DONACIONES/30.000,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
408000000/OTROS GASTOS/2.231.488,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
411000000/DISMINUCION DE PASIVOS/1.000.000,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
401000000/GASTOS DE PERSONAL/6.817.547,00/114.500,00/62.500,00/6.869.547,00/1.593,75/6.620.189,54/247.763,71/247.763,71/6.620.189,54/5.952.979,27/667.210,27
402000000/MATERIALES, SUMINISTROS Y MERCANCÃAS/413.061,00/130.836,00/95.836,00/448.061,00/1.208,78/287.921,13/158.931,09/158.931,09/285.737,13/285.737,13/0,00
403000000/SERVICIOS NO PERSONALES/2.899.312,00/44.473.836,00/358.351,00/47.014.797,00/318.805,78/3.058.398,59/43.637.592,63/43.637.592,63/1.927.823,45/1.779.536,50/148.286,95
404000000/ACTIVOS REALES/558.199,00/380.729.699,28/18.000,00/381.269.898,28/7.433,93/1.226.604,22/380.035.860,13/380.035.860,13/786.870,30/780.355,30/6.515,00
407000000/TRANSFERENCIAS Y DONACIONES/30.000,00/0,00/0,00/30.000,00/0,00/0,00/30.000,00/30.000,00/0,00/0,00/0,00
408000000/OTROS GASTOS/2.231.488,00/169.930,00/169.930,00/2.231.488,00/0,00/437.277,67/1.794.210,33/1.794.210,33/437.277,67/437.277,67/0,00
411000000/DISMINUCION DE PASIVOS/1.000.000,00/4.502.054,00/337.002,00/5.165.052,00/0,00/929.123,00/4.235.929,00/4.235.929,00/929.123,00/929.123,00/0,00
401000000/GASTOS DE PERSONAL/6.817.547,00/114.500,00/62.500,00/6.869.547,00/1.593,75/6.620.189,54/247.763,71/247.763,71/6.620.189,54/5.952.979,27/667.210,27
402000000/MATERIALES, SUMINISTROS Y MERCANCÃAS/413.061,00/130.836,00/95.836,00/448.061,00/1.208,78/287.921,13/158.931,09/158.931,09/285.737,13/285.737,13/0,00
403000000/SERVICIOS NO PERSONALES/2.899.312,00/44.473.836,00/358.351,00/47.014.797,00/318.805,78/3.058.398,59/43.637.592,63/43.637.592,63/1.927.823,45/1.779.536,50/148.286,95
404000000/ACTIVOS REALES/558.199,00/380.729.699,28/18.000,00/381.269.898,28/7.433,93/1.226.604,22/380.035.860,13/380.035.860,13/786.870,30/780.355,30/6.515,00
407000000/TRANSFERENCIAS Y DONACIONES/30.000,00/0,00/0,00/30.000,00/0,00/0,00/30.000,00/30.000,00/0,00/0,00/0,00
408000000/OTROS GASTOS/2.231.488,00/169.930,00/169.930,00/2.231.488,00/0,00/437.277,67/1.794.210,33/1.794.210,33/437.277,67/437.277,67/0,00
411000000/DISMINUCION DE PASIVOS/1.000.000,00/4.502.054,00/337.002,00/5.165.052,00/0,00/929.123,00/4.235.929,00/4.235.929,00/929.123,00/929.123,00/0,00
401000000/GASTOS DE PERSONAL/6.817.547,00/114.500,00/62.500,00/6.869.547,00/1.593,75/6.620.189,54/247.763,71/247.763,71/6.620.189,54/5.952.979,27/667.210,27
